,Date,BTC-USD,ETH-USD,USDT-USD,BNB-USD,USDC-USD,XRP-USD,LUNA1-USD,ADA-USD,SOL-USD,HEX-USD,AVAX-USD,DOT-USD,BUSD-USD,DOGE-USD,UST-USD,MATIC-USD,WBTC-USD,CRO-USD,DAI-USD,ATOM-USD,LTC-USD,NEAR-USD,LINK-USD,UNI1-USD
0,2020-11-25,18732.12109375,570.6866455078125,1.00005304813385,31.342960357666016,1.00005304813385,0.6354830265045166,0.4069989919662475,0.1551620066165924,2.270034074783325,0.00322200008668,4.049502849578857,5.309860229492188,1.0,0.0037269999738782,0.999571979045868,0.0212949998676776,18690.25,0.0782549977302551,1.0012389421463013,5.92368221282959,81.880126953125,1.1072709560394287,14.26096534729004,3.683753967285156
1,2020-11-26,17150.623046875,518.8011474609375,1.0020350217819214,28.20491600036621,1.0002349615097046,0.5330190062522888,0.3494260013103485,0.1382810026407241,1.9030369520187376,0.0032689999788999,3.5277099609375,4.804576873779297,1.0002000331878662,0.0032500000670552,1.0004409551620483,0.0177800003439188,17123.875,0.0637049973011016,1.0044349431991575,5.328975200653076,70.86572265625,1.0061299800872805,12.575363159179688,3.4314990043640137
2,2020-11-27,17108.40234375,517.4937133789062,1.0011999607086182,28.475187301635746,1.000769019126892,0.5592679977416992,0.3839460015296936,0.1410280019044876,1.8579490184783936,0.0033239999320358,3.5921521186828613,4.782790184020996,1.0003999471664429,0.0032750000245869,0.9995149970054626,0.0177049990743398,17060.388671875,0.0642549991607666,1.0026979446411133,5.359952926635742,69.12387084960938,0.9966440200805664,12.490259170532228,3.316725015640259
3,2020-11-28,17717.4140625,538.2297973632812,1.001001000404358,29.143911361694336,1.0000430345535278,0.6256219744682312,0.3849630057811737,0.164791002869606,1.8889349699020384,0.0042949998751282,3.624502897262573,4.900475978851318,0.9997000098228456,0.0034050000831484,0.9993249773979188,0.018750000745058,17734.591796875,0.0652090013027191,1.0023620128631592,5.43474006652832,72.69296264648438,1.021968960762024,13.078346252441406,3.4696710109710693
4,2020-11-29,18177.484375,575.758056640625,1.000890016555786,30.117603302001957,1.000072956085205,0.6062459945678711,0.3801119923591614,0.1666390001773834,1.915155053138733,0.004329000134021,3.7043120861053462,5.190351963043213,1.0,0.0034479999449104,0.9996410012245178,0.0188560001552104,18167.775390625,0.0661789998412132,1.0039089918136597,5.425221920013428,79.23506927490234,1.0145939588546753,13.372918128967283,3.5520548820495605
5,2020-11-30,19625.8359375,614.842529296875,1.0003770589828491,31.392786026000977,1.0001920461654663,0.6643369793891907,0.3982410132884979,0.1713079959154129,1.966891050338745,0.0045280000194907,3.686424016952514,5.376430034637451,0.9998000264167786,0.0035510000307112,0.997708022594452,0.0195630006492137,19619.04296875,0.0702380016446113,1.0064469575881958,5.554779052734375,87.57463073730469,1.0760780572891235,14.22563934326172,3.769073963165283
6,2020-12-01,18802.998046875,587.3241577148438,1.0013229846954346,30.10830307006836,1.000226974487305,0.6129230260848999,0.3890210092067718,0.1559830009937286,1.976307988166809,0.0045650000683963,3.579318046569824,5.09356689453125,1.0,0.0033350000157952,0.9999629855155944,0.0187219996005296,18828.37890625,0.0655770003795623,1.004681944847107,5.269285202026367,85.4357681274414,1.0601049661636353,13.389534950256348,3.555413007736206
7,2020-12-02,19201.091796875,598.3523559570312,1.0006710290908811,30.297361373901367,1.000051975250244,0.6298930048942566,0.408161997795105,0.1585569977760315,2.115401029586792,0.0043060001917183,3.7314178943634033,5.464157104492188,1.0002000331878662,0.0033740000799298,0.9998599886894226,0.0193339996039867,19214.001953125,0.0667719990015029,1.0037460327148438,5.499683856964111,88.85651397705078,1.1752500534057615,13.98736572265625,3.9369399547576895
8,2020-12-03,19445.3984375,616.708740234375,1.0008399486541748,30.704429626464844,0.9999880194664,0.6314830183982849,0.5024719834327698,0.1642120033502578,2.1003708839416504,0.0041899997740983,3.821922063827514,5.410368919372559,1.0002000331878662,0.0034280000254511,0.9997950196266174,0.02080599963665,19460.82421875,0.0662890002131462,1.0036649703979492,5.503932952880859,89.09896850585938,1.1555609703063965,13.97472095489502,3.891982078552246
9,2020-12-04,18699.765625,569.3541870117188,1.000236988067627,29.072208404541016,1.0000540018081665,0.5572620034217834,0.4509429931640625,0.1482409983873367,1.8559529781341555,0.0037279999814927,3.551129102706909,5.032713890075684,1.000100016593933,0.0032979999668896,1.0006920099258425,0.0188710000365972,18665.34375,0.0629070028662681,1.0036050081253052,5.072772979736328,80.01707458496094,1.1041259765625,12.74124526977539,3.5281319618225098
10,2020-12-05,19154.23046875,596.595458984375,1.0005450248718262,29.72948837280273,1.0000239610671997,0.5844209790229797,0.5100119709968567,0.1596679985523224,1.9787739515304563,0.0037259999662637,3.615125894546509,5.188902854919434,1.0,0.0033970000222325,1.0003750324249268,0.0197340007871389,19150.3828125,0.0642199963331222,1.0044490098953247,5.257667064666748,83.11872863769531,1.1128300428390503,13.1730375289917,3.681674003601074
11,2020-12-06,19345.12109375,601.9089965820312,1.001202940940857,29.54080390930176,1.0002700090408323,0.6198509931564331,0.5016509890556335,0.1588670015335083,1.8542490005493164,0.003393999999389,3.599608898162842,5.135868072509766,1.0,0.003387999953702,1.0008080005645752,0.0195719990879297,19383.044921875,0.0638030022382736,1.005149006843567,5.207972049713135,83.55533599853516,1.0346879959106443,13.49239730834961,3.653107881546021
